business_area_key,province_name,city_name,district_name,province_code,city_code,district_code,city_tier,city_cluster,area_id_local,area_name,description,mall_count,total_store_count,total_brand_score,max_brand_score,has_outlet,mall_codes,level,tags
四川省_成都市_温江区__1,四川省,成都市,温江区,510000,510100.0,510115.0,,,1,光华商圈,位于光华大道核心区域，聚集了多个大型商业综合体,4,1,1,1,False,MALL_3E7DD762|MALL_2C81B11B|MALL_A9CDE3A7|MALL_0EAE86BE,district_center,购物|住宅
四川省_成都市_温江区__2,四川省,成都市,温江区,510000,510100.0,510115.0,,,2,柳城商圈,温江老城区核心商业区，以文化路为中心的传统商圈,3,1,1,1,False,MALL_0D9D1663|MALL_0A736D20|MALL_23F16830,district_center,购物|住宅
四川省_成都市_温江区__3,四川省,成都市,温江区,510000,510100.0,510115.0,,,3,国色天乡商圈,围绕国色天乡主题乐园形成的商业聚集区,3,0,0,0,True,MALL_85725911|MALL_66B0AD33|MALL_4A127393,district_center,旅游景区|奥特莱斯|文旅综合体
四川省_成都市_温江区__4,四川省,成都市,温江区,510000,510100.0,510115.0,,,4,南熏大道商圈,南熏大道沿线新兴商业区，毗邻杨柳河地铁站,2,0,0,0,False,MALL_A6ABC80A|MALL_A6F6AFC8,district_center,购物|住宅|交通枢纽
四川省_成都市_温江区__5,四川省,成都市,温江区,510000,510100.0,510115.0,,,5,大学城商圈,学府路沿线商业区，服务周边高校群体,1,1,1,1,False,MALL_8E63445A,district_center,校园|购物
四川省_成都市_温江区__6,四川省,成都市,温江区,510000,510100.0,510115.0,,,6,永宁商圈,永宁镇区域商业中心,1,0,0,0,False,MALL_EF60F3B2,community,购物|住宅
四川省_成都市_温江区__7,四川省,成都市,温江区,510000,510100.0,510115.0,,,7,科技园商圈,海峡两岸科技园区域商业配套,1,0,0,0,True,MALL_DD5195C5,district_center,购物|奥特莱斯
四川省_成都市_温江区__8,四川省,成都市,温江区,510000,510100.0,510115.0,,,8,凤凰商圈,凤凰北大街周边商业区,1,0,0,0,False,MALL_788C6B31,district_center,购物|住宅
四川省_成都市_温江区__9,四川省,成都市,温江区,510000,510100.0,510115.0,,,9,寿安商圈,寿安镇区域商业中心,1,0,0,0,False,MALL_82F90BFC,community,购物|住宅
上海市_上海城区_嘉定区__1,上海市,上海城区,嘉定区,310000,310100.0,310114.0,,,1,南翔商圈,位于南翔镇核心区域，聚集了多个大型商业综合体,4,9,8,5,False,MALL_3E32FAF6|MALL_6C24E734|MALL_17B5A53B|MALL_07BD4CB2,district_center,购物|住宅
