uuid,brand,name,chosen_mall_id,confidence,reason
803d6f7f-d839-409d-bb8b-00069fced05e,NIO,蔚来中心 | 兰州黄河之滨,MALL_00478,medium,兰州万达茂距离门店仅1154米，是所有候选商场中最近的；品牌NIO通常入驻大型购物中心，万达茂符合这一特征；虽然门店位于七里河区而万达茂在西固区，但距离接近且同城匹配
dac27c7c-ded2-4972-b480-b7e8739d858b,NIO,蔚来体验中心 | 西安丈八,none,low,门店位于雁塔区丈八街道，但候选商场均无明确关联证据。虽然所有候选都在同城且距离3-5公里，但门店名称和地址中的'高科智慧智造园'与候选商场名称无匹配，且门店district为长安区与商场实际区域不完全一致
0243ce50-3526-4c66-99b1-9971679639bc,NIO,蔚来中心 | 西安创意谷,,error,error: Expecting value: line 1 column 1 (char 0)
b13aafb9-27ac-4fe4-925b-ee8bb5f74d8c,NIO,蔚来体验中心 | 西安曲江,,error,error: Expecting value: line 1 column 1 (char 0)
e0e12766-3798-471e-96ea-fe538178b4c9,NIO,蔚来体验中心 | 银川德胜,none,low,门店名称明确标注'银川德胜'，但所有候选商场均位于金凤区，与门店所在兴庆区不匹配，且最近商场距离超过4.6公里，区级地理位置差异明显
e266c352-5f17-4f63-a48a-13324ed845b7,NIO,蔚来体验中心 | 德阳八角,MALL_00616,medium,城市匹配且距离较近(11km)，但门店名称中未提及万达广场，品牌NIO与商场类型有一定匹配度
6e5c2508-341e-49e9-b0e9-1c6251f6b529,NIO,蔚来中心 | 成都天府艺术公园,,error,error: Expecting value: line 1 column 1 (char 0)
c1e07827-bf79-4487-8702-db6d8873477f,NIO,蔚来体验中心 | 成都锦江三圣乡,,error,error: Expecting value: line 1 column 1 (char 0)
ce266b95-40fd-4ce5-819c-8903eb0be92d,NIO,蔚来体验中心 | 成都高新机场路,MALL_00288,medium,门店位于成都武侯区益园三路，候选商城中仁和新城距离最近（2.3公里），且同在成都市武侯区，区域匹配度较高。虽然门店名称含'机场路'而商场名称无直接关联，但基于距离和行政区划的匹配，选择置信度为中等。
daf6c15a-5027-497f-9a86-32c6301d5528,NIO,蔚来中心 | 成都大源,none,low,门店地址显示位于成都教科院附属学校初中部，这并非传统商场环境。候选商场中虽有多家位于成都且距离较近（如世豪广场仅1公里），但门店名称和地址均未提及任何商场名称，且门店类型标注为mall_store_no_match，表明其可能不在商场内。
